content,score
"Sekarang aplikasi grab jelek banget sering eror, tiba2 keluar sendiri, trus dulu biasanya kalau pesan salah klik bisa dihapus ...ada jeda waktu buat pesan, ini gak bisa, harus, harus diperbaiki lagi ini",1
"Saya sangat kecewa dengan aplikasinya, berapa kali saya coba ke lobby China arta gading saya di antar ke lobby paris. hal ini terjadi sudah berapa kali, tolong dong developernya perbaiki database aplikasinya. kasihan tukang grab dan customer juga",3
aplikasinya lemot banget sihh padahal sinyal udah keceng. mau seneng malah jadi jengkel. perbaiki lagi dong kualitasnya. udh coba install ulang masih sama aja lemot banget. bukannya mempermudah malah makin susah,1
"gak jelas bgt pakai grab express instan, barang tidak kunjung d jemput,driver TDK bisa d hubungi,pesanan tidak bisa d batalkan, tau² hampir 1 jam ganti driver baru dan ttp d aplikasi TDK bisa d batalkan,,parah bgt ttp gue bayar itu driver k 2. tapi di sini tolong lah knp pakai instan karna butuh yg cepat bukan untuk main² ganti² driver,,Anehhhhh!",1
kocak bgtt gajelas tolong ya di perbaiki lagi saya jadi harus qris 2x karena kesalahan dari restonya tolong ya pengembalian dananya secepat mungkin dikira saya ga butuh saldonya juga kali mana anak kost uang terbatas pas lagi kurang beruntung kena kek gitu apa coba,1
"tolong lah ya , aplikasi grab hilangkan aja fitur verifikasi wajah setiap mau beli makanan dll ,aku udh kesal bngt ,udh berulang kali pakai cahaya yang maksimal,pakai wfi , pakai paket data ,masih aja ga bisa emosi di bikinnya,orang mau pesan cepat malah jadi lambat, tolong bngt yaa di perhatikan jangan mempersulit costumer maksih !",5
"Poorly slow in finding drivers. Kalau kendaraan yang hemat nyarinya lama banget, beda sama aplikasi sebelah. Mau hemat mau biasa, sama² cepet nyari drivernya. Thanks Grab, I was late to class. Flop.",3
"pesanan sering dibatalkan di aplikasi ini, awalnya toko buka tiba tiba dibatalkan toko tutup, mau pesan lagi dana ditahannya lama banget. kasih peringatan aja sama toko yg suka tiba tiba batalin pesanan, menyebalkan 2x pesan ditoko berbeda beda 2x juga dibatalkan.",1
"saya senang banget menggunakan jasa Grab ini, satu di antara 10org driver nya yang jutek... yah begitulah karakter manusia tidak ada yang sempurna... jika ada barang customer ketinggalan, saya mohon 🙏🙏 jangan lagi di bebankan (ongkir) ke si penumpang, karena itu kelalaian drivernya... buat kami pelanggan, boleh dong di buatin promonya setiap waktu di butuhkan... jayalah selalu , tetap ramah buat penumpang.. semangat dan optimis buat para driver 🙂🙂🥰",5
"Banyak waktu waktu yang di habiskan buat cari makanan. Setelah di checkout malah di batalkan karena menu tidak tersedia. Ongkos kirim super mahal, 50% dari harga produk di beli, kurir cuma dapat 7000-1000. Udah motong biaya ongkir juga malah ada biaya layanan aplikasi. Belanja makin mahal, dapet nya gak tahu apa... Padahal menu nya menu biasa, bahkan merchant yang katalog nya udah gak jual lagi masih di promosikan.",1
"driver sering menambahkan biaya sendiri tanpa sepengetahuan penumpang, biaya awal 10.500 begitu selesai jd 20.500, tidak ada parkir, tol, dll, jarak dari rumah ke tujuan hanya 1 km lebih, saya sangat kecewa dan satu lagi, drivernya banyak yg arogan, dapat jarak dekat dr lokasi jemput tp dicancel, tp giliran customer yg cancel nanti ngamuk marah2. tolong pihak GRAB kalau org daftar jd mitra dicek lebih baik. terima kasih.",1
lebih bagus lagi kalau pembayaran bisa ovo+cash. terkadang kita sulit saldo yg gak mencukupi utk order pdhl msh bisa disupport pembayaran cash sisa bayarnya. (seperti rival sebelah sih oke ada sistem begitu). semoga didengar dan sukses dijalankan.,5
"Mungkin bisa di perjelas untuk timing pesanan, agar customer tidak menunggu lama driver tanpa kepastian, lalu tiba² pesanan di antar... Dan, menu pembatalan pesanan, akhir² ini tidak.bosa di claim dari awal membuat customer kebingungan jika tiba² pihak resto menerima pesanan sedangkan customer dalam proses pembatalan.",1
"Saya cuma ingin memberi saran, Grab Paylater memang cukup membantu bagi saya, tapi hanya sebatas untuk Transportasi, belanja, dan makan minum. Tapi alangkah sangat membantu jika fitur bayar tagihan listrik dll bisa menggunakan Paylater juga, mungkin sangat membantu sekali, juga mungkin bisa digunakan untuk pembayaran booking hotel, tiket, wisata dll. Terima kasih, hanya saran aja",3
"saya sudah berkali kali mengalami pengalaman tidak mengenakkan, Restonya sering ngebatalin pesanan, diskonnya kadang hilang, pesanan saya yang dibatalin tidak kunjung di TF balik uangnya, ngehubungi customer service, slow respon bgt kadang ga ada kelanjutannya",1
"pada bagian uih ux pembayaran bagi kita yang instal ulang lagi setelah sekian lama jadi membingungkan harus via ovo aja padahal dulu banyak pilihan qris pun gak bisa padahal saya naik sendiri bukan untuk orang lain, mohon diperbaiki dulu bagian ui ux di pembayaran apakah dicek ada kendala bug disitu",1
"uang saya yang ditahan sementara di aplikasi sudah berubah status jadi dikembalikan sedangkan di mutasi dan saldo rekening saya belum ada pemasukan! Sangat tidak rekomendasi bayar pakai kartu Debit, tolong dijelaskan kenapa uang saya belum masuk ke rekening?",1
"Food Delivery nya Buruk, Ongkos udah mahal driver sering ambil lebih dari 1 pesanan, waktu yg ditentukan seringkali lewat tapi tidak ada kompensasi dan Grab seenaknya rubah waktu pesanan menjadi lebih lama sehingga makanan yg diterima sudah dingin atau mencair dan rasa sudah tidak enak, sistem Grab food nya makin buruk dari sebelumnya 👎👎👎👎👎",1
"antara aplikasi dan driver² tidak kompak. kalau driver tidak mau, mending tidak perlu daftar di grab. adanya pilihan grab hemat pasti untuk bersaing dengan maxim, indrive. tetapi driver keberatan dengan tarif grabhemat. lebih baik ditiadakan pilihan tersebut. atau driver tidak perlu mendaftar sebagai anggota grab. sebagai konsumen tentu akan memilih yang hemat dong? klo penumpang empati dengan driver. bisa dalam bentuk tip. tapi klo pilhan di opsi mobil. pasti dipilih yang hemat. sekian aja.",1
"Untuk saat ini cukup sempurna, namun alangkah baiknya jika ditambahkan fitur metode pembayaran agar bisa digabungkan, dan fitur grab paylater bisa digunakan untuk pembayaran Qris offline itu bisa menambah kepuasan pelanggan saya yakin👍🏻",4
min.. tolong sistemnya diperbaikin lagi. hari ini saya mesan grab berharap biar cepat sampai tempat tujuan tapi malah dibuat kesal sama sistemnya yang tidak jelas. padahal dari titik lokasi (penjemputan) ada banyak grab yang dekat saya lihat tapi kenapa saya di kasih grab yang sangat jauh dari titik penjemputan.. saya pun mau cancel tapi kasihan sama abangnya yang nyari duit jadi tetap saya tungguin meskipun saya harus ngorbanin waktu saya dan telat sampai di tempat kerja..,2
"Alhamdulillah pelayanannya bagus.. jauh dekat drivernya tidak masalah, beda sama aplikasi sebelah selalu bikin tak jelas padahal sudah menunggu lama tak ada pergerakan.",5
"ini kenapa akun sya tertera nomor tidak jelas, saya tanyakan ke teman juga saudara sya yg pengguna apk ini ternyata juga sama. akunya ditempelin nomor bekas orderan fiktif dan depan nomor +62 21 itu udah jelas kan area mana. kok bisa""nya dimasukan ke akun pengguna tanpa sepengetahuan. sya tau ini krana ada driver yg chat bilang takut order fiktif tapi sya suruh antar krana sya penasaran. dan ternyata benar akun sya dimasuki nomer tertentu. apk mkin kesini makin ga jelas!!!!!",1
